latitude,longitude,name,region,unitaryAuthArea,nationalPark
55.9078,-3.249,Colinton,"Dumfries, Galloway, Lothian & Borders",Edinburgh,
55.8677,-3.6811,Whitburn,"Dumfries, Galloway, Lothian & Borders",West Lothian,
55.9639,-3.1657,Hibernian F.C.,"Dumfries, Galloway, Lothian & Borders",Edinburgh,
54.7347,-4.4136,Whithorn,"Dumfries, Galloway, Lothian & Borders",Dumfries and Galloway,
55.8989,-3.2016,Fairmilehead,"Dumfries, Galloway, Lothian & Borders",Edinburgh,
55.0758,-3.0048,Evertown,"Dumfries, Galloway, Lothian & Borders",Dumfries and Galloway,
55.9574,-2.7884,St Mary's Pleasance Haddington,"Dumfries, Galloway, Lothian & Borders",East Lothian,
55.9475,-3.2174,Edinburgh Haymarket,"Dumfries, Galloway, Lothian & Borders",Edinburgh,
56.001,-2.549,Belhaven Bay,"Dumfries, Galloway, Lothian & Borders",East Lothian,
55.9206,-3.2736,Longstone,"Dumfries, Galloway, Lothian & Borders",Edinburgh,
55.9365,-3.1995,Edinburgh Bruntsfield,"Dumfries, Galloway, Lothian & Borders",Edinburgh,
55.9533,-3.1868,Edinburgh,"Dumfries, Galloway, Lothian & Borders",Edinburgh,
55.9599,-3.2546,Blackhall,"Dumfries, Galloway, Lothian & Borders",Edinburgh,
55.9473,-3.0389,Musselburgh Racecourse,"Dumfries, Galloway, Lothian & Borders",East Lothian,
55.7287,-3.0424,Dewar,"Dumfries, Galloway, Lothian & Borders",Scottish Borders,
55.6007,-3.3198,Dawyck Botanic Garden,"Dumfries, Galloway, Lothian & Borders",Scottish Borders,
55.6142,-2.4296,Kelso Racecourse,"Dumfries, Galloway, Lothian & Borders",Scottish Borders,
55.8812,-3.2168,Midlothian Snowsports Centre,"Dumfries, Galloway, Lothian & Borders",Midlothian Council,
55.5986,-2.7204,Melrose,"Dumfries, Galloway, Lothian & Borders",Scottish Borders,
55.1183,-4.3235,Meikle Millyea,"Dumfries, Galloway, Lothian & Borders",Dumfries and Galloway,
55.5671,-3.3486,Drumelzier Law,"Dumfries, Galloway, Lothian & Borders",Scottish Borders,
55.5175,-3.2309,Deer Law,"Dumfries, Galloway, Lothian & Borders",Scottish Borders,
55.3806,-3.3102,Bodesbeck Law,"Dumfries, Galloway, Lothian & Borders",Scottish Borders,
55.5483,-3.2331,Blackhouse Heights,"Dumfries, Galloway, Lothian & Borders",Scottish Borders,
55.4204,-2.6411,Hallrule,"Dumfries, Galloway, Lothian & Borders",Scottish Borders,
55.3895,-3.3889,Swatte Fell,"Dumfries, Galloway, Lothian & Borders",Dumfries and Galloway,
55.9536,-3.2753,Corstorphine Hill,"Dumfries, Galloway, Lothian & Borders",Edinburgh,
55.5996,-2.7057,Melrose Youth Hostel,"Dumfries, Galloway, Lothian & Borders",Scottish Borders,
55.0702,-3.6246,Queen Of The South F.C.,"Dumfries, Galloway, Lothian & Borders",Dumfries and Galloway,
55.7229,-2.7551,Lauder,"Dumfries, Galloway, Lothian & Borders",Scottish Borders,
54.9144,-4.6067,Kirkcowan,"Dumfries, Galloway, Lothian & Borders",Dumfries and Galloway,
54.8372,-4.0514,Broughton House (Kirkcudbright),"Dumfries, Galloway, Lothian & Borders",Dumfries and Galloway,
55.8924,-2.134,Coldingham Bay (Beach),"Dumfries, Galloway, Lothian & Borders",Scottish Borders,
55.9007,-3.5167,Livingston,"Dumfries, Galloway, Lothian & Borders",West Lothian,
55.0868,-3.4408,Rammerscales,"Dumfries, Galloway, Lothian & Borders",Dumfries and Galloway,
55.9331,-3.1589,Prestonfield,"Dumfries, Galloway, Lothian & Borders",Edinburgh,
55.9054,-3.285,Juniper Green,"Dumfries, Galloway, Lothian & Borders",Edinburgh,
55.5508,-2.2722,Kirk Yetholm Youth Hostel,"Dumfries, Galloway, Lothian & Borders",Scottish Borders,
55.9264,-3.3223,Suntrap,"Dumfries, Galloway, Lothian & Borders",Edinburgh,
55.6066,-3.0541,Innerleithen (Mountain Bike Trail Centre),"Dumfries, Galloway, Lothian & Borders",Scottish Borders,
55.624,-3.0635,Innerleithen,"Dumfries, Galloway, Lothian & Borders",Scottish Borders,
55.2692,-3.1773,Eskdalemuir,"Dumfries, Galloway, Lothian & Borders",Dumfries and Galloway,
55.7186,-2.5913,Houndslow,"Dumfries, Galloway, Lothian & Borders",Scottish Borders,
55.0661,-3.7688,Shawhead,"Dumfries, Galloway, Lothian & Borders",Dumfries and Galloway,
55.6344,-3.1538,Kailzie Gardens,"Dumfries, Galloway, Lothian & Borders",Scottish Borders,
54.924,-3.9424,Threave Gardens,"Dumfries, Galloway, Lothian & Borders",Dumfries and Galloway,
54.9403,-3.9301,Castle Douglas,"Dumfries, Galloway, Lothian & Borders",Dumfries and Galloway,
55.9132,-3.1586,Liberton,"Dumfries, Galloway, Lothian & Borders",Edinburgh,
55.9341,-3.0437,Inveresk Lodge Garden,"Dumfries, Galloway, Lothian & Borders",East Lothian,
55.9216,-3.2344,Craiglockhart,"Dumfries, Galloway, Lothian & Borders",Edinburgh,
55.974,-3.6014,Linlithgow,"Dumfries, Galloway, Lothian & Borders",West Lothian,
55.9218,-3.1599,Inch,"Dumfries, Galloway, Lothian & Borders",Edinburgh,
